

================================================================================
********************************************************************************
The local date and time is: Fri Apr 12 10:28:52 2019
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Minimum Conflict Algorithm Detail
Trials	Time	Iteration	Max steps	TOTAL STEPS	Suucess/Fail
1	1181243	444448	1000	1000000	SUCCESS
2	5	3	1000	1000000	SUCCESS
3	5	3	1000	1000000	SUCCESS
4	5	3	1000	1000000	SUCCESS
5	5	3	1000	1000000	SUCCESS
6	6	3	1000	1000000	SUCCESS
7	5	3	1000	1000000	SUCCESS
8	5	3	1000	1000000	SUCCESS
9	6	3	1000	1000000	SUCCESS
10	5	3	1000	1000000	SUCCESS
11	5	3	1000	1000000	SUCCESS
12	5	3	1000	1000000	SUCCESS
13	5	3	1000	1000000	SUCCESS
14	5	3	1000	1000000	SUCCESS
15	5	3	1000	1000000	SUCCESS
16	5	3	1000	1000000	SUCCESS
17	5	3	1000	1000000	SUCCESS
18	6	3	1000	1000000	SUCCESS
19	5	3	1000	1000000	SUCCESS
20	5	3	1000	1000000	SUCCESS
21	6	3	1000	1000000	SUCCESS
22	5	3	1000	1000000	SUCCESS
23	5	3	1000	1000000	SUCCESS
24	5	3	1000	1000000	SUCCESS
25	5	3	1000	1000000	SUCCESS
26	5	3	1000	1000000	SUCCESS
27	5	3	1000	1000000	SUCCESS
28	6	3	1000	1000000	SUCCESS
29	5	3	1000	1000000	SUCCESS
30	5	3	1000	1000000	SUCCESS
31	6	3	1000	1000000	SUCCESS
32	5	3	1000	1000000	SUCCESS
33	5	3	1000	1000000	SUCCESS
34	5	3	1000	1000000	SUCCESS
35	5	3	1000	1000000	SUCCESS
36	5	3	1000	1000000	SUCCESS
37	6	3	1000	1000000	SUCCESS
38	5	3	1000	1000000	SUCCESS
39	5	3	1000	1000000	SUCCESS
40	5	3	1000	1000000	SUCCESS
41	6	3	1000	1000000	SUCCESS
42	5	3	1000	1000000	SUCCESS
43	5	3	1000	1000000	SUCCESS
44	5	3	1000	1000000	SUCCESS
45	6	3	1000	1000000	SUCCESS
46	5	3	1000	1000000	SUCCESS
47	5	3	1000	1000000	SUCCESS
48	5	3	1000	1000000	SUCCESS
49	6	3	1000	1000000	SUCCESS
50	5	3	1000	1000000	SUCCESS
1	6	3	1	1000000	SUCCESS
2	5	3	1	1000000	SUCCESS
3	5	3	1	1000000	SUCCESS
4	5	3	1	1000000	SUCCESS
5	5	3	1	1000000	SUCCESS
6	5	3	1	1000000	SUCCESS
7	5	3	1	1000000	SUCCESS
8	5	3	1	1000000	SUCCESS
9	5	3	1	1000000	SUCCESS
10	6	3	1	1000000	SUCCESS
11	5	3	1	1000000	SUCCESS
12	5	3	1	1000000	SUCCESS
