

================================================================================
********************************************************************************
The local date and time is: Fri Apr 12 10:28:52 2019
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Minimum Conflict Algorithm Summary
Queen	Average time	Average iteration	Max steps	Number of Failure	TOTAL_STEPS	Number of trials
4	23629	8891	1000	0	1000000	50
4	5	3	1	0	1000000	50
4	5	3	2	0	1000000	50
4	5	3	4	0	1000000	50
4	5	3	8	0	1000000	50
4	5	3	16	0	1000000	50
4	5	3	32	0	1000000	50
4	5	3	64	0	1000000	50
4	5	3	128	0	1000000	50
4	5	3	256	0	1000000	50
4	5	3	512	0	1000000	50
4	5	3	1024	0	1000000	50
4	5	3	2048	0	1000000	50
4	5	3	4096	0	1000000	50
4	5	3	8192	0	1000000	50
4	5	3	16384	0	1000000	50
4	5	3	32768	0	1000000	50
4	5	3	65536	0	1000000	50
4	5	3	131072	0	1000000	50
4	5	3	262144	0	1000000	50
4	5	3	524288	0	1000000	50
4	5	3	1048576	0	1000000	50
5	559524	227389	1000	0	1000000	50
5	1	1	1	0	1000000	50
5	1	1	2	0	1000000	50
5	1	1	4	0	1000000	50
5	1	1	8	0	1000000	50
5	1	1	16	0	1000000	50
5	1	1	32	0	1000000	50
5	1	1	64	0	1000000	50
5	1	1	128	0	1000000	50
5	1	1	256	0	1000000	50
5	1	1	512	0	1000000	50
5	1	1	1024	0	1000000	50
5	1	1	2048	0	1000000	50
5	1	1	4096	0	1000000	50
5	1	1	8192	0	1000000	50
5	1	1	16384	0	1000000	50
5	1	1	32768	0	1000000	50
5	1	1	65536	0	1000000	50
5	1	1	131072	0	1000000	50
5	1	1	262144	0	1000000	50
5	1	1	524288	0	1000000	50
5	1	1	1048576	0	1000000	50
6	1242081	383384	1000	2	1000000	50
6	0	0	1	50	1000000	50
6	1190110	321210	2	0	1000000	50
6	1	1	4	0	1000000	50
6	1	1	8	0	1000000	50
6	1	1	16	0	1000000	50
6	1	1	32	0	1000000	50
6	1	1	64	0	1000000	50
6	1	1	128	0	1000000	50
6	1	1	256	0	1000000	50
6	1	1	512	0	1000000	50
6	1	1	1024	0	1000000	50
6	1	1	2048	0	1000000	50
6	1	1	4096	0	1000000	50
6	1	1	8192	0	1000000	50
6	1	1	16384	0	1000000	50
6	1	1	32768	0	1000000	50
6	1	1	65536	0	1000000	50
6	1	1	131072	0	1000000	50
6	1	1	262144	0	1000000	50
6	1	1	524288	0	1000000	50
6	1	1	1048576	0	1000000	50
